python3 train.py
Ordinary Least Squares Calculated thetas: theta_0 (intercept) = 8499.599649933216, theta_1 (slope) = -0.021448963591702303
Iteration 131: slope = 0.030235261713510923, intercept_y = 0.5198263201885986, y_pred = 0.01
Iteration 132: slope = 0.029402444233976286, intercept_y = 0.5207657253788918, y_pred = 0.01
Iteration 133: slope = 0.028566053315000544, intercept_y = 0.521692313091148, y_pred = 0.01
Iteration 134: slope = 0.027726192515317223, intercept_y = 0.5226063661705108, y_pred = 0.01
Iteration 135: slope = 0.026882963017779468, intercept_y = 0.5235081610419868, y_pred = 0.01
Iteration 136: slope = 0.026036463683381434, intercept_y = 0.5243979678563558, y_pred = 0.01
Iteration 137: slope = 0.025186791104051875, intercept_y = 0.5252760506327643, y_pred = 0.01
Iteration 138: slope = 0.02433403965424778, intercept_y = 0.526142667398077, y_pred = 0.01
Iteration 139: slope = 0.023478301541375382, intercept_y = 0.5269980703230629, y_pred = 0.01
Iteration 140: slope = 0.02261966685506516, intercept_y = 0.5278425058554848, y_pred = 0.01
Iteration 141: slope = 0.02175822361532688, intercept_y = 0.5286762148501641, y_pred = 0.01
Iteration 142: slope = 0.020894057819610158, intercept_y = 0.5294994326960906, y_pred = 0.01
Iteration 143: slope = 0.020027253488795388, intercept_y = 0.5303123894406414, y_pred = 0.01
Iteration 144: slope = 0.01915789271213936, intercept_y = 0.5311153099109786, y_pred = 0.01
Iteration 145: slope = 0.018286055691199333, intercept_y = 0.5319084138326861, y_pred = 0.01
Iteration 146: slope = 0.017411820782758766, intercept_y = 0.5326919159457112, y_pred = 0.01
Iteration 147: slope = 0.01653526454077741, intercept_y = 0.5334660261176707, y_pred = 0.01
Iteration 148: slope = 0.015656461757387923, intercept_y = 0.5342309494545814, y_pred = 0.01
Iteration 149: slope = 0.01477548550296069, intercept_y = 0.5349868864090747, y_pred = 0.01
Iteration 150: slope = 0.013892407165258028, intercept_y = 0.5357340328861507, y_pred = 0.01
Iteration 151: slope = 0.013007296487698458, intercept_y = 0.5364725803465299, y_pred = 0.01
Iteration 152: slope = 0.012120221606751275, intercept_y = 0.5372027159076544, y_pred = 0.01
Iteration 153: slope = 0.011231249088481205, intercept_y = 0.5379246224423955, y_pred = 0.01
Iteration 154: slope = 0.010340443964262432, intercept_y = 0.5386384786755155, y_pred = 0.01
Iteration 155: slope = 0.00944786976568089, intercept_y = 0.5393444592779394, y_pred = 0.01
Iteration 156: slope = 0.008553588558643278, intercept_y = 0.5400427349588824, y_pred = 0.01
Iteration 157: slope = 0.007657660976710815, intercept_y = 0.5407334725558844, y_pred = 0.01
Iteration 158: slope = 0.006760146253675351, intercept_y = 0.5414168351227976, y_pred = 0.01
Iteration 159: slope = 0.005861102255395076, intercept_y = 0.5420929820157746, y_pred = 0.01
Iteration 160: slope = 0.004960585510906624, intercept_y = 0.5427620689773024, y_pred = 0.01
Iteration 161: slope = 0.004058651242830052, intercept_y = 0.5434242482183259, y_pred = 0.01
Iteration 162: slope = 0.0031553533970827352, intercept_y = 0.5440796684985054, y_pred = 0.01
Iteration 163: slope = 0.0022507446719179074, intercept_y = 0.5447284752046496, y_pred = 0.01
Iteration 164: slope = 0.0013448765463031811, intercept_y = 0.5453708104273666, y_pred = 0.01
Iteration 165: slope = 0.00043779930765405935, intercept_y = 0.5460068130359716, y_pred = 0.01
Iteration 166: slope = -0.0004704379210629055, intercept_y = 0.5466366187516938, y_pred = 0.01
Iteration 167: slope = -0.0013797871548429817, intercept_y = 0.5472603602192175, y_pred = 0.01
Iteration 168: slope = -0.0022902015207581505, intercept_y = 0.5478781670765991, y_pred = 0.01
Iteration 169: slope = -0.0032016352326603406, intercept_y = 0.5484901660235932, y_pred = 0.01
Iteration 170: slope = -0.004114043566459634, intercept_y = 0.5490964808884278, y_pred = 0.01
Iteration 171: slope = -0.005027382835964373, intercept_y = 0.5496972326930595, y_pred = 0.01
Iteration 172: slope = -0.0059416103692703955, intercept_y = 0.5502925397169479, y_pred = 0.01
Iteration 173: slope = -0.006856684485686927, intercept_y = 0.550882517559379, y_pred = 0.01
Iteration 174: slope = -0.00777256447318692, intercept_y = 0.5514672792003723, y_pred = 0.01
Iteration 175: slope = -0.008689210566369928, intercept_y = 0.5520469350602044, y_pred = 0.01
Iteration 176: slope = -0.009606583924925862, intercept_y = 0.5526215930575786, y_pred = 0.01
Iteration 177: slope = -0.010524646612588253, intercept_y = 0.5531913586664737, y_pred = 0.01
Iteration 178: slope = -0.011443361576565886, intercept_y = 0.5537563349716996, y_pred = 0.01
Iteration 179: slope = -0.012362692627441928, intercept_y = 0.5543166227231907, y_pred = 0.01
Iteration 180: slope = -0.013282604419529945, intercept_y = 0.5548723203890655, y_pred = 0.01
Iteration 181: slope = -0.014203062431676409, intercept_y = 0.5554235242074802, y_pred = 0.01
Iteration 182: slope = -0.01512403294849954, intercept_y = 0.5559703282373032, y_pred = 0.01
Iteration 183: slope = -0.016045483042054588, intercept_y = 0.5565128244076388, y_pred = 0.01
Iteration 184: slope = -0.01696738055391584, intercept_y = 0.5570511025662247, y_pred = 0.01
Iteration 185: slope = -0.0178896940776659, intercept_y = 0.5575852505267292, y_pred = 0.01
Iteration 186: slope = -0.018812392941782965, intercept_y = 0.5581153541149749, y_pred = 0.01
Iteration 187: slope = -0.019735447192917074, intercept_y = 0.5586414972141097, y_pred = 0.01
Iteration 188: slope = -0.02065882757954647, intercept_y = 0.5591637618087532, y_pred = 0.01
Iteration 189: slope = -0.02158250553600545, intercept_y = 0.5596822280281382, y_pred = 0.01
Iteration 190: slope = -0.022506453166875245, intercept_y = 0.5601969741882725, y_pred = 0.01
Iteration 191: slope = -0.023430643231729692, intercept_y = 0.5607080768331426, y_pred = 0.01
Iteration 192: slope = -0.024355049130227627, intercept_y = 0.5612156107749801, y_pred = 0.01
Iteration 193: slope = -0.025279644887544132, intercept_y = 0.5617196491336134, y_pred = 0.01
Iteration 194: slope = -0.026204405140132905, intercept_y = 0.5622202633749255, y_pred = 0.01
Iteration 195: slope = -0.027129305121812258, intercept_y = 0.5627175233484366, y_pred = 0.01
Iteration 196: slope = -0.02805432065016738, intercept_y = 0.5632114973240339, y_pred = 0.01
Iteration 197: slope = -0.028979428113261648, intercept_y = 0.5637022520278652, y_pred = 0.01
Iteration 198: slope = -0.029904604456650025, intercept_y = 0.5641898526774178, y_pred = 0.01
Iteration 199: slope = -0.030829827170687597, intercept_y = 0.5646743630157998, y_pred = 0.01
Iteration 200: slope = -0.03175507427812661, intercept_y = 0.5651558453452415, y_pred = 0.01
Iteration 201: slope = -0.03268032432199544, intercept_y = 0.5656343605598372, y_pred = 0.01
Iteration 202: slope = -0.03360555635375302, intercept_y = 0.5661099681775407, y_pred = 0.01
